75,하이젠알앤엠,"36,350","2,300",+6.75%,"1,212,668","44,683","36,200","36,250","11,228",-201.94,-1.92
76,TS트릴리온,220,9,+4.27%,"1,201,161",261,221,222,236,-4.49,-19.64
77,네오이뮨텍,982,18,-1.80%,"1,166,134","1,124",959,960,971,-3.25,-70.17
78,스튜디오미르,"4,750",240,-4.81%,"1,121,674","5,511","4,860","4,865","1,555",-63.33,0.29
79,보성파워텍,"3,830",30,+0.79%,"1,100,326","4,244","3,825","3,830","1,882",11.89,6.80
80,더즌,"5,100",0,0.00%,"1,095,812","5,639","5,110","5,120","3,657",31.68,28.06
81,율호,"1,153",115,-9.07%,"1,091,873","1,312","1,166","1,169",829,-4.89,-23.33
82,하이드로리튬,"2,510",40,-1.57%,"1,079,537","2,701","2,490","2,495","1,360",-3.06,-23.16
83,제주반도체,"16,640",370,+2.27%,"1,064,302","17,548","16,550","16,560","5,731",48.37,11.44
84,유니테스트,"13,880","1,120",+8.78%,"1,057,759","14,564","14,000","14,020","2,933",-13.18,-19.88
85,SGA솔루션즈,697,10,-1.41%,"1,047,416",742,699,700,595,-4.65,-20.26
86,티엑스알로보틱스,"13,900",870,+6.68%,"977,051","13,968","13,780","13,790","2,148",107.75,14.93
87,캔버스엔,"1,089",54,-4.72%,"954,264","1,055","1,075","1,077",257,-3.09,-34.96
88,글로벌텍스프리,"4,780",55,-1.14%,"946,871","4,572","4,775","4,780","3,360",16.95,5.60
89,팬스타엔터프라이즈,937,8,+0.86%,"939,108",878,931,934,"1,084",14.20,6.67
90,국일제지,468,1,-0.21%,"929,896",434,467,468,"5,276",-66.86,-9.98
91,한국선재,"3,470",20,+0.58%,"926,389","3,245","3,495","3,500",885,694.00,-1.02
92,헬릭스미스,"7,060",500,+7.62%,"883,984","6,146","7,060","7,070","3,254",-40.34,-10.43
93,원텍,"10,120",330,-3.16%,"873,094","8,856","10,120","10,130","9,105",22.69,25.76
94,하이록코리아,"35,700","2,700",+8.18%,"869,790","31,557","35,500","35,550","4,389",10.58,11.38
95,파인엠텍,"11,640",180,-1.52%,"867,700","10,085","11,620","11,630","4,381",-14.85,-11.87
96,엔에프씨,"6,760",640,-8.65%,"812,517","5,741","6,730","6,760",604,28.64,-9.03
97,케이씨티,"4,215",35,-0.82%,"802,947","3,413","4,190","4,200",723,49.01,2.58
98,에스엔시스,"51,500",800,+1.58%,"781,092","41,395","51,600","51,700","4,860",17.28,28.30
99,알체라,"2,820",120,+4.44%,"771,192","2,193","2,825","2,830","1,092",-10.85,-125.69
100,아이에이,183,0,0.00%,"758,638",139,182,183,688,-2.77,-25.89
